nct_id,title,overall_status,phase,start_date,enrollment,sponsor_name
NCT06610019,Cardiovascular Multimodality Imaging Study,RECRUITING,,2023-05-01,5000.0,Montefiore Medical Center
NCT04463719,AIM2: Adequate Selection of Patients for Thyroid Biopsy: Evaluation of a Shared Decision Making Conversation Aid,COMPLETED,NA,2022-02-20,107.0,University of Florida
NCT06099119,Efficacy of PERT for PEI in Unresectable Pancreatic Cancer.,RECRUITING,PHASE4,2024-02-20,100.0,Hospital Clinico Universitario de Santiago
NCT02529930,An Exploratory Safety and Immunogenicity Study of HPV16+ Immunotherapy VB10.16 in Women With HSIL; CIN 2/3),COMPLETED,"PHASE1, PHASE2",,34.0,Nykode Therapeutics ASA
NCT04122430,Risk of Venous Thromboembolism in Patients Receiving First-Line Chemotherapy for Disseminated Germ Cell Tumours,COMPLETED,,,1135.0,Walter and Eliza Hall Institute of Medical Research
NCT03215030,A Study of Modakafusp Alfa on Adult Participants With Relapsed/Refractory Multiple Myeloma,TERMINATED,"PHASE1, PHASE2",2017-10-04,272.0,Teva Branded Pharmaceutical Products R&D LLC
NCT06531265,Cryotechnique as a Diagnostic and Therapeutic Tool of Endobronchial Tumors,COMPLETED,NA,2019-07-01,35.0,Sohag University
NCT03902665,Up-front Hematopoietic Stem Cell Transplantation in Acute Myeloid Leukemia Patients Aged 65-75,COMPLETED,PHASE2,2019-03-15,19.0,Fondazione Policlinico Universitario Agostino Gemelli IRCCS
NCT07035067,Multidimensional Burden of Platinum Resistant Ovarian Cancer (PROC) on Patients and Caregivers in Canada,ENROLLING_BY_INVITATION,,2025-07-15,150.0,PeriPharm
NCT02998567,Combination Study of Guadecitabine/ASTX727 and Pembrolizumab,RECRUITING,PHASE1,2017-01-26,60.0,Royal Marsden NHS Foundation Trust
NCT04065100,Sebum Measurement in Newborn to Detect Hyperexposure to Androgens,UNKNOWN,NA,2019-07-08,200.0,Homerton University Hospital NHS Foundation Trust
NCT04747600,Outcomes of Surgical Resection of Pancreatic Cystic Neoplasms Based on the European Expert Consensus Statement: A Prospective Observational Study.,COMPLETED,,2014-06-01,63.0,Zagazig University
NCT02797600,"Community Awareness, Resources and Education (CARE II) Project: Project 1",COMPLETED,,,285.0,Ohio State University Comprehensive Cancer Center
NCT04786600,A Phase II Randomized Therapeutic Optimization Trial for Subjects With Refractory Metastatic Colorectal Cancer Using ctDNA: Rapid 1 Trial,TERMINATED,PHASE2,2022-03-14,6.0,University of Florida
NCT06643000,Evaluating High-dose Furmonertinib with Bevacizumab and Pemetrexed for EGFRm NSCLC with Leptomeningeal Metastasis,RECRUITING,NA,2024-12-20,60.0,Henan Cancer Hospital
NCT06412419,Multimodal Endoscopic Image Fusion for Assessing Infiltration in Superficial Esophageal Squamous Cell Carcinoma,NOT_YET_RECRUITING,,2024-05-15,450.0,Changhai Hospital
NCT02271919,Varenicline and Combined NRT for Smoking Cessation,ACTIVE_NOT_RECRUITING,PHASE4,2015-05-14,631.0,M.D. Anderson Cancer Center
NCT01183728,Treatment of Knee Osteoarthritis With Autologous Mesenchymal Stem Cells,COMPLETED,"PHASE1, PHASE2",,12.0,Red de Terapia Celular
NCT03412565,A Study to Evaluate Subcutaneous Daratumumab in Combination With Standard Multiple Myeloma Treatment Regimens,COMPLETED,PHASE2,2018-04-26,265.0,"Janssen Research & Development, LLC"
NCT02270567,RegisterNET - A Registry for Neuroendocrine Tumors in the USA and Worldwide,ENROLLING_BY_INVITATION,,,400.0,Wren Laboratories LLC
NCT03866967,A Study of Anti-PD-1 AK105 in Patients With Metastatic Nasopharyngeal Carcinoma,COMPLETED,PHASE2,2019-03-27,130.0,Akeso
NCT06086119,Quality of Life and Voice Perception in Patients Laryngoctomized Phonatory Wearers,UNKNOWN,,2021-05-04,31.0,Regina Elena Cancer Institute
NCT00857519,A Study of the Effectiveness of a Local Injection of Chemotherapy for Retinoblastoma,COMPLETED,NA,,10.0,Wills Eye
NCT01866319,Study to Evaluate the Safety and Efficacy of Two Different Dosing Schedules of Pembrolizumab (MK-3475) Compared to Ipilimumab in Participants With Advanced Melanoma (MK-3475-006/KEYNOTE-006),COMPLETED,PHASE3,2013-08-28,834.0,Merck Sharp & Dohme LLC
NCT00006128,Study of Neurobehavioral Outcome in Children or Adolescents With Closed Head Injuries,UNKNOWN,,,374.0,National Center for Research Resources (NCRR)
NCT00882765,Genistein in Treating Patients With Pancreatic Cancer That Can Be Removed by Surgery,WITHDRAWN,PHASE2,,0.0,Jonsson Comprehensive Cancer Center
NCT05400265,"Evaluate the Safety, Tolerability, Pharmacokinetic Characteristics and Preliminary Efficacy of HLX26 and HLX10 in Patients With Advanced/Metastatic Solid Tumor",COMPLETED,PHASE1,2022-07-26,9.0,Shanghai Henlius Biotech
NCT03013712,A Clinical Research of CAR T Cells Targeting EpCAM Positive Cancer,UNKNOWN,"PHASE1, PHASE2",,60.0,First Affiliated Hospital of Chengdu Medical College
